2026-03-20 01:52:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:53:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:54:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:55:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:56:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:57:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:58:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 01:59:00,,24000,24300,,,24000,24500,,,,,24300,23500,,,,,,,24355.276
2026-03-20 02:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:03:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:05:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:06:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:07:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:08:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:09:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:10:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:14:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:17:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:18:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:25:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:27:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:30:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:32:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:33:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:36:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:37:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:39:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:42:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:45:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:47:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:49:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:50:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:52:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:53:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:54:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:57:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 02:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:03:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:05:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:06:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:07:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:08:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:09:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:10:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:14:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:17:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:18:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:25:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:27:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:30:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:31:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:33:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:36:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:37:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:39:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:42:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:45:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:47:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:49:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:50:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:52:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:53:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:54:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:57:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 03:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:03:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:05:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:06:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:07:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:08:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:09:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:10:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:14:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:17:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:18:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:25:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:27:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:30:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:32:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:33:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:36:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:37:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:39:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:42:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:45:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:47:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:49:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:50:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:52:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:53:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:54:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:57:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 04:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:03:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:05:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:06:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:07:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:08:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:09:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:10:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:14:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:17:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:18:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:31:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:32:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 05:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:08:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:25:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:27:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:30:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:31:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:32:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:33:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:36:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:37:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:39:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:42:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:45:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:47:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:49:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:50:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:52:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:53:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:54:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:57:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 06:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:03:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:04:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:05:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:06:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:07:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:09:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:10:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:11:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:12:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:13:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:14:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:15:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:16:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:17:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:18:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:19:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:20:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:21:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:22:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:23:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:24:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:25:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:26:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:27:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:28:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:29:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:30:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:31:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:33:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:34:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:35:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:36:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:37:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:38:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:39:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:40:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:41:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:42:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:43:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:44:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:45:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:46:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:47:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:48:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:49:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:50:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:51:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:52:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:53:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:54:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:55:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:56:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:57:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:58:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 07:59:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 08:00:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 08:01:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
2026-03-20 08:02:00,,24000,,,,24000,,,,,,,,,,,,,,24355.276
