2026-03-18 21:35:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6720,6870,6720,,6500,6624.7
2026-03-18 21:36:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6720,6870,6720,,6500,6624.7
2026-03-18 21:37:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6720,6870,6720,,6530,6624.7
2026-03-18 21:38:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6530,6870,6720,,6530,6624.7
2026-03-18 21:39:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6530,6870,6710,,6530,6624.7
2026-03-18 21:40:00,,6600,6710,,,6600,6660,,,,,6710,6500,6870,6530,6870,6710,,6530,6624.7
2026-03-18 21:41:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:42:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:43:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:44:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:45:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:46:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:47:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:48:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:49:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:50:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:51:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:52:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:53:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:54:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:55:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:56:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:57:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:58:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 21:59:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:00:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:01:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:02:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:03:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:04:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:05:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:06:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:07:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:08:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:09:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:10:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:11:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:12:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:13:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:15:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:16:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:17:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:18:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:19:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:20:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:21:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:22:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:23:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:24:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:25:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:26:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:27:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:28:00,,6600,6710,,,6600,6660,,,,,6710,6500,6790,6530,6790,6710,,6530,6624.7
2026-03-18 22:29:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:30:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:31:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:32:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:33:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:34:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:35:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:36:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:37:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:38:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:39:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:40:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:41:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:42:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:43:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:44:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:45:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:46:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:47:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:48:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:49:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:50:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:51:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:52:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:53:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:54:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:55:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:56:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:57:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:58:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 22:59:00,,6600,6710,,,6600,6660,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:00:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:01:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:02:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:03:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:04:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:06:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:07:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:08:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:09:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:10:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:11:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:12:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:13:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:14:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:15:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:16:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:17:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:18:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:19:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:20:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:21:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:22:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:23:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:24:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:25:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:26:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:27:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:28:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:29:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:30:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:31:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:32:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:33:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:34:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:35:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:37:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:38:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:39:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:40:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:41:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:42:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:43:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:44:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:45:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:46:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:47:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:48:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:49:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:50:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:51:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:52:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:53:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:54:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:55:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:56:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:57:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:58:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-18 23:59:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:00:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:01:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:02:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:03:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:04:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:05:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:06:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:07:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:08:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:09:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:10:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:11:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:12:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:13:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:14:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:15:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:16:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:17:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:18:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:19:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:21:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:22:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:23:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:24:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:25:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:26:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:27:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:28:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:29:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:30:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:31:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:32:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:33:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:34:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:35:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:36:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:37:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:38:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:39:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:40:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:41:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:42:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:43:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:44:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:45:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:46:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:47:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:48:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:49:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:50:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:51:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:52:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:53:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:54:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:55:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:56:00,,6600,6710,,,6600,6610,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:57:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:58:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 00:59:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:00:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:01:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:02:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:03:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:04:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:05:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:06:00,,6600,6710,,,6600,6640,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:07:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:08:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:09:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
2026-03-19 01:10:00,,6600,6710,,,6600,6650,,,,,6710,6500,6760,6530,6760,6710,,6530,6624.7
